Sr No.,Date of Purchase,Purchaser Name,Denomination
1,12/Apr/2019,A B C INDIA LIMITED,100000
2,12/Apr/2019,A B C INDIA LIMITED,100000
3,12/Apr/2019,A B C INDIA LIMITED,1000000
4,12/Apr/2019,A B C INDIA LIMITED,1000000
5,12/Apr/2019,A B C INDIA LIMITED,100000
6,12/Apr/2019,A B C INDIA LIMITED,100000
7,12/Apr/2019,A B C INDIA LIMITED,100000
8,12/Apr/2019,A B C INDIA LIMITED,1000000
9,12/Apr/2019,A B C INDIA LIMITED,100000
10,12/Apr/2019,A B C INDIA LIMITED,100000
11,12/Apr/2019,A B C INDIA LIMITED,100000
12,12/Apr/2019,A B C INDIA LIMITED,100000
13,12/Apr/2019,A B C INDIA LIMITED,100000
14,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000
15,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1000000
16,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000
17,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000
18,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000
19,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000
20,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1000000
21,12/Apr/2019,ARIHANT ENTERPRISES,1000000
22,12/Apr/2019,ARIHANT ENTERPRISES,1000000
23,12/Apr/2019,ARIHANT ENTERPRISES,1000000
24,12/Apr/2019,ARIHANT ENTERPRISES,1000000
25,12/Apr/2019,CHOUDHARY GARMENTS,1000000
26,12/Apr/2019,CHOUDHARY GARMENTS,1000000
27,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
28,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
29,12/Apr/2019,ESSEL MINING AND INDS LTD,1000000
30,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
31,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
32,12/Apr/2019,ESSEL MINING AND INDS LTD,1000000
33,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
34,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
35,12/Apr/2019,ESSEL MINING AND INDS LTD,1000000
36,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
37,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
38,12/Apr/2019,ESSEL MINING AND INDS LTD,10000000
